x,g,h
0.528,0.3781175961875693,0.38820828285197717
0.536,0.36590807009068904,0.37600472011921615
0.544,0.3536967028378848,0.3636566531105392
0.552,0.3414868172659412,0.35118175810332664
0.56,0.3292817093335966,0.33859743855195773
0.5680000000000001,0.31708464744280446,0.32592081147432145
0.5760000000000001,0.30489887177287034,0.3131686944917047
0.584,0.29272759362753936,0.30035759352151925
0.592,0.2805739947951079,0.2875036911215868
0.6,0.26844122692163214,0.27462283548398436
0.608,0.25633241089729475,0.2617305300757439
0.616,0.24425063625599405,0.2488419239230224
0.624,0.23219896058821174,0.23597180253469535
0.632,0.22018040896721258,0.22313457946068305
0.64,0.20819797338862595,0.21034428847969971
0.648,0.1962546122234528,0.19761457641051425
0.656,0.18435324968454167,0.18495869654023206
0.664,0.1724967753065683,0.17238950266254935
0.672,0.1606880434395544,0.15991944371839464
0.68,0.14892987275595332,0.147560559030857
0.6880000000000001,0.13722504577132916,0.13532447412580656
0.6960000000000001,0.1255763083786498,0.12322239712914129
0.704,0.11398636939621282,0.11126511573114269
0.712,0.10245790012921635,0.09946299470799509
0.72,0.0909935339449876,0.08782597399011724
0.728,0.07959586586187217,0.07636356726656537
0.736,0.0682674521517889,0.06508486111440816
0.744,0.05701080995644837,0.05399851464162764
0.752,0.045828416917229935,0.043112759631780635
0.76,0.034722710818708986,0.032435401178354896
0.768,0.023696089245822213,0.02197381879647493
0.776,0.012750909254654962,0.011734967999354935
0.784,0.001889487056831462,0.001725382326658159
0.792,-0.008885902282515038,-0.008048824188294324
0.8,-0.019573025133218597,-0.01758195412571983
0.808,-0.030169689575033177,-0.02686872337440601
0.8160000000000001,-0.040673745659094866,-0.03590425742816663
0.8240000000000001,-0.051083085655930276,-0.04468408729744707
0.8320000000000001,-0.061395644290051225,-0.053204145049923726
0.84,-0.07160939896117884,-0.06146075899404166
0.848,-0.08172236995214449,-0.06945064851951652
0.856,-0.09173262062351549,-0.07717091860888803
0.864,-0.10163825759500106,-0.08461905403426175
0.872,-0.11143743091369299,-0.0917929132533993
0.88,-0.12112833420920108,-0.09869072201933209
0.888,-0.1307092048357453,-0.10531106671766562
0.896,-0.14017832400127073,-0.11165288744572113
0.904,-0.14953401688365306,-0.11771547084762325
0.912,-0.15877465273406638,-0.123498442719389
0.92,-0.16789864496758772,-0.12900176039800654
0.928,-0.17690445124111473,-0.1342257049484088
0.936,-0.1857905735186776,-0.1391708731621507
0.9440000000000001,-0.19455555812422703,-0.1438381693814892
0.9520000000000001,-0.20319799578198425,-0.14822879716244078
0.96,-0.21171652164444063,-0.15234425079025637
0.968,-0.22010981530809945,-0.15618630666060376
0.976,-0.2283766008170501,-0.15975701453958877
0.984,-0.2365156466544741,-0.16305868871557364
0.992,-0.24452576572217932,-0.16609389905557004
1.0,-0.2524058153082637,-0.16886546197878932
1.008,-0.2601546970430122,-0.17137643135973205
1.016,-0.26777135684313264,-0.17363008937298452
1.024,-0.2752547848444378,-0.17562993729167029
1.032,-0.28260401532308516,-0.17737968625127365
1.04,-0.2898181266054857,-0.17888324799031502
1.048,-0.29689624096699724,-0.18014472557911201
1.056,-0.3038375245195189,-0.18116840414760774
1.064,-0.3106411870881053,-0.18195874162298833
1.072,-0.3173064820767216,-0.18252035948754622
1.08,-0.3238327063232626,-0.18285803356697417
